ID,店名,地址,YTD,
1,612昌达,凯旋西路613所旁边,0,
2,CLOVER便利店,洛阳市翠云路与长兴路交叉口西80米路南,0,
3,阿坤超市,洛阳市黔川路与西苑路交叉口南180米路西,0,
4,爱家超市,老城区春都路49号,2302.271833,
5,爱新量贩,陇北一路爱新量贩,322.804,
6,百孝乐购,洛阳市郑州路与景华路交叉南30米西,0,
7,佰嘉宜超市,洛阳市九都与浅井西路交叉口向西65米路南,0,
8,必盛超市,武汉路21号,981.1183333,
9,便民超市-莲庄乡,莲庄乡上涧村南口上涧小学北邻,225.0716667,
10,滨湖生鲜超市,洛阳市牡丹大道与厚载门街交叉口西50米路北,0,
11,彩虹日用纸品,涧西区西苑路与龙鳞路交叉口向东80米路南门面房,5010.26,
12,彩霞化妆品超市,顾县镇营房口十字路口西路北180米,1043.101667,
13,瀍河你我他超市,华林路与中州路向南200米路东,738.2213333,
14,昌盛百货洗化商行,关林芳达市场新街10号,661.5833333,
15,大丰生鲜便利店,洛阳市宜人路与通济路交叉口西45米路北,0,
16,大福超市,河南省洛阳市洛龙区大杨树路口东300米,1449.552167,
17,大军购物广场,洛阳市偃师市庞村镇顾龙路与掘丁路交叉口南50米路西12号,2166.799167,
18,大商新玛特泉舜店,洛阳市洛龙区牡丹大道166号泉舜购物中心,27383.89833,
19,大宇购物广场-首阳山镇,偃师市首阳山镇镇镇政府斜对面十字路口路北32号,25348.675,
20,大宇购物中心,偃师市缑氏镇文化广场,22875.88833,
21,德源超市-李楼乡(洛龙区),李楼中街63号李楼乡乡政府斜对面,0,
22,东河量贩,高新开发区奥阳康城21号楼9门西房,210.8466667,
23,东周购物广场,洛龙区白马寺镇政府东150米路北,2488.049333,
24,东周量贩,王城大道与机场路转盘西南角,1417.062833,
25,豆豆批发部,河南省洛阳市偃师市翟镇镇31号,0,
26,发展日化,关林商贸城7街1号,1263.645,
27,菲英特生活超市,创业路与鸿都路交叉口,964.315,
28,分外香日化精品,新安县隋州大街转角楼东20米,243.6966667,
29,芙蓉日化-石庙乡,石庙乡ABC幼儿园西500米,1099.742167,
30,福盛锦达商行,福昌村教堂东50米路南,385.2968333,
31,福万家便民超市,洛阳市龙门大道帝都国际东门南50米,386.485,
32,购得生鲜超市,洛阳市周山路与珠江路交叉西50米南,0,
33,关林昌盛露露,芳达市场三街175号,2253.043667,
34,关林姐妹日化,关林小商品大厅铁房呗1号,1244.271667,
35,关林刘强,关林芳达市场98号,133.4166667,
36,关林您放心,关林芳达市场三街大门口门面第一家,262.11,
37,关林天一,关林皂角树食品街南排16号,1669.491667,
38,关林田建军,关林商贸城7街4号,1065.756667,
39,关林兴隆日化行,关林钱江市场大张量贩上面南门西30米,19646.99667,
40,冠军生活广场,翟镇镇镇政府整对面33号,3240.3755,
41,桂都百货超市,孟津县城桂花大道中街125号,0,
42,海鸥日化,关林芳达市场7街北1号,150630.7313,
43,汉华商贸学子店,河南省洛阳市洛龙区向北200米理工大学东门对面,1089.348333,
44,好邻居批零部,洛阳市经三路与展览路交叉口向南300米路西,0,
45,好生活超市（缑氏镇）,偃师缑氏镇中心广场东南20米,4482.671667,
46,好生活购物广场-岳滩镇,河南省偃师市岳滩镇310国道西23号,1974.740667,
47,好市多生鲜超市,洛阳市展览路与定鼎门街交叉口东40米路北,0,
48,好宜多购物-李楼乡(洛龙区),李楼乡景华市场十字楼口西10米,2900.637667,
49,好易多-工农乡(涧西区),龙鳞路一拖技校对面向北5米,2873.460667,
