name,location,adname,address,type,rating,catering,accommodation,mall,store,superMarket,personal_items,residence,business,hospital,school,bus,parking,metro,GDP,country_income,country_consume,urban_income,urban_consume,population
保税国际进口商品直购中心(栾川店),"111.62935,33.777803",栾川县,洛阳市栾川县君山东路91号附近,商场,3.5 ,75,25,1,16,3,5,20,0,3,0,3,4,0,25.33,9910,6788,23114,14332,16.33
新都汇购物公园,"112.435233,34.671087",西工区,洛阳市西工区解放路56号,商场,4.5 ,559,50,9,25,11,25,50,18,9,2,24,50,4,133.9005,15701,14909,38783,26889,36.21
建业凯旋广场,"112.450008,34.67394",西工区,洛阳市西工区中州中路245号,商场,5.0 ,490,25,7,25,7,25,25,15,18,2,13,25,2,133.9005,15701,14909,38783,26889,36.21
上海市场百货大楼,"112.38525,34.661276",涧西区,洛阳市涧西区青岛路56号,商场,4.0 ,441,25,14,25,9,21,25,5,7,3,14,16,2,73.228,13023,9607,25431,16032,45.2557
中央商场(洛阳店),"112.445283,34.672822",西工区,洛阳市西工区中州中路287号,商场,3.5 ,405,25,9,23,6,25,24,13,9,2,16,25,2,133.9005,15701,14909,38783,26889,36.21
关林商贸城,"112.475602,34.613559",洛龙区,洛阳市洛龙区龙门大道521号,商场,3.5 ,275,25,3,25,13,22,14,0,5,0,12,14,0,172.4,14086,14312,33971,23477,38.69
丹尼斯(纱厂店),"112.43056,34.673326",西工区,洛阳市西工区纱厂南路与汉屯路交叉口,大型知名商超,3.5 ,433,25,4,25,8,15,50,15,18,3,15,25,3,133.9005,15701,14909,38783,26889,36.21
光华商厦,"112.447105,34.674899",西工区,洛阳市西工区中州中路206号,商场,3.5 ,436,24,8,25,7,25,23,12,5,1,13,25,2,133.9005,15701,14909,38783,26889,36.21
相约淘宝城,"112.385339,34.660527",涧西区,洛阳市涧西区青岛路洛阳润峰购物中心2层,商场,3.5 ,403,25,14,25,8,20,25,6,6,3,15,18,2,73.228,13023,9607,25431,16032,45.2557
大张盛德美购物广场(勤政苑店),"112.446627,34.624586",洛龙区,洛阳市洛龙区太康路与金城寨街交叉口,大型知名商超,4.7 ,119,25,1,10,1,14,10,1,8,1,14,24,2,172.4,14086,14312,33971,23477,38.69
中成百货,"112.786108,34.719979",偃师市,洛阳市偃师市华夏路华夏广场对面,商场,3.5 ,264,50,4,25,8,25,25,3,6,2,24,21,0,354.0161,12596,7907,22357,14194,62.1853
大张购物广场(中州中路),"112.447885,34.674928",西工区,洛阳市西工区中州中路196号大张购物广场,大型知名商超,3.5 ,453,25,7,25,6,25,25,13,11,2,11,25,2,133.9005,15701,14909,38783,26889,36.21
鸿诚商厦,"112.44831,34.674234",西工区,洛阳市西工区中州中路251号,商场,3.5 ,457,25,7,25,6,25,24,16,14,2,11,25,2,133.9005,15701,14909,38783,26889,36.21
丹尼斯(纱北店),"112.42883,34.683053",西工区,洛阳市西工区纱厂北路28号,大型知名商超,4.0 ,157,125,2,25,7,3,24,1,4,2,15,13,2,133.9005,15701,14909,38783,26889,36.21
盛德美(永宁大道),"111.657728,34.384698",洛宁县,洛阳市洛宁县城关镇翔梧路和永宁大道交叉口洛宁紫竹购物中心二楼,商场,4.5 ,150,9,3,20,3,10,24,1,4,2,1,10,0,88.1748,10740,6789,27770,17654,32.4
美乐美时尚购物广场(豫港店),"112.447109,34.424222",伊川县,洛阳市伊川县豫港大道与洛栾快速通道交叉口凯旋华府隔壁,商场,3.0 ,25,2,4,2,0,2,5,2,0,0,13,15,0,290,8730,6750,19024,14805,45.66
温州商贸城(商都路),"112.79057,34.722396",偃师市,洛阳市偃师市民主路市政府西50米,商场,3.0 ,405,100,6,50,16,25,25,3,17,3,25,23,0,354.0161,12596,7907,22357,14194,62.1853
纺织品大楼,"112.3861,34.662017",涧西区,洛阳市涧西区场步行街与青岛路交叉口北50米,商场,3.5 ,499,25,14,25,13,25,25,3,10,3,13,18,2,73.228,13023,9607,25431,16032,45.2557
德众商厦,"112.387322,34.663099",涧西区,洛阳市涧西区德众商厦3层,商场,3.5 ,527,25,14,25,12,24,50,5,11,3,10,20,1,73.228,13023,9607,25431,16032,45.2557
花荣广场,"112.430507,34.688961",老城区,洛阳市老城区春都路207号,商场,3.5 ,50,25,2,22,6,2,23,0,1,2,19,8,2,24.5864,9810,6523,24597,15443,17.6587
福昌隆购物广场,"112.38641,34.663647",涧西区,洛阳市涧西区景华路73号,商场,3.5 ,511,25,14,25,14,25,25,5,12,3,12,20,2,73.228,13023,9607,25431,16032,45.2557
美乐美购物中心,"112.419633,34.674247",西工区,洛阳市西工区健康西路与王城大道交叉口南150米,商场,3.5 ,140,100,1,16,8,2,25,2,8,0,5,12,0,133.9005,15701,14909,38783,26889,36.21
凯瑞·君临广场,"112.433491,34.667918",西工区,洛阳市西工区中州中路与纱厂南路交叉口,商场,3.5 ,379,25,7,25,11,25,25,12,9,1,25,50,3,133.9005,15701,14909,38783,26889,36.21
波飞时尚广场,"112.479031,34.6842",老城区,洛阳市老城区北大街143号,商场,3.5 ,609,50,10,25,15,22,50,5,25,0,11,25,2,24.5864,9810,6523,24597,15443,17.6587
衡达商业广场,"112.432376,34.685047",西工区,洛阳市西工区桃李巷与道南路交叉口北50米,商场,3.5 ,200,150,3,25,13,3,25,2,5,2,17,15,2,133.9005,15701,14909,38783,26889,36.21
大张盛德美购物广场,"112.396431,34.66155",涧西区,洛阳市涧西区景华路与豫北二路交叉口西北100米,大型知名商超,4.0 ,296,25,2,25,5,3,25,5,24,3,11,25,1,73.228,13023,9607,25431,16032,45.2557
洛阳服装小商品商场,"112.43633,34.674517",西工区,洛阳市西工区唐宫西路40号,商场,3.5 ,378,25,5,25,10,14,25,11,10,1,20,25,3,133.9005,15701,14909,38783,26889,36.21
洛阳隆基,"112.478148,34.682511",老城区,洛阳市老城区吉市胡同洛阳隆基商贸城(八角楼金街西),商场,3.5 ,542,50,9,25,11,16,25,4,19,0,7,24,2,24.5864,9810,6523,24597,15443,17.6587
红太阳购物广场(毛陈路),"111.671952,34.332039",洛宁县,洛阳市洛宁县陈吴乡毛陈路,商场,3.5 ,5,0,1,1,3,1,0,0,1,0,0,0,0,88.1748,10740,6789,27770,17654,32.4
人防地下商城(中州东路店),"112.480577,34.683871",老城区,洛阳市老城区中州东路与北大街路口356号,商场,3.5 ,598,50,9,25,11,15,25,5,20,0,12,24,2,24.5864,9810,6523,24597,15443,17.6587
富雅广场,"112.427846,34.665975",西工区,洛阳市西工区中州中路555号,商场,3.5 ,127,25,1,20,5,3,25,15,4,0,13,25,2,133.9005,15701,14909,38783,26889,36.21
商业大厦(新华路)(装修中),"112.441441,34.826222",孟津县,洛阳市孟津县新华路与桂花大道交叉口东北50米,商场,3.5 ,161,20,3,25,10,6,22,3,4,1,17,9,0,202.58,8385,3337,19695,13883,41.84
大千商厦,"112.477229,34.684083",老城区,洛阳市老城区中州东路与吉市胡同交叉口西北100米,商场,3.5 ,648,50,10,25,18,25,50,5,25,0,9,25,2,24.5864,9810,6523,24597,15443,17.6587
偃师百货大楼,"112.790637,34.727301",偃师市,洛阳市偃师市槐新路11号,商场,3.0 ,211,25,1,50,12,9,22,3,12,0,19,11,0,354.0161,12596,7907,22357,14194,62.1853
洛宁上亿广场,"111.643687,34.365877",洛宁县,洛阳市洛宁县长虹南路与新宁大道交叉口,商场,3.5 ,1,0,1,0,0,0,0,0,0,0,5,0,0,88.1748,10740,6789,27770,17654,32.4
嵩县百货楼,"112.086982,34.13381",嵩县,洛阳市嵩县嵩州路412号,商场,3.5 ,302,75,3,50,23,24,25,11,15,1,50,3,0,20.13,6455,5099,17009,13665,15.98
丹尼斯(南昌店),"112.405961,34.645274",涧西区,洛阳市涧西区南昌路130号,大型知名商超,4.0 ,314,50,4,13,10,25,25,11,13,3,19,25,0,73.228,13023,9607,25431,16032,45.2557
洛宁县百货大楼,"111.649651,34.388134",洛宁县,洛阳市洛宁县京宁路与兴宁中路交叉口西南50米,商场,3.2 ,202,13,5,25,10,13,14,3,8,1,22,5,0,88.1748,10740,6789,27770,17654,32.4
盛德美,"112.775768,34.721957",偃师市,洛阳市偃师市华夏路金桥市场隔壁,商场,3.5 ,74,10,1,14,4,4,25,1,4,1,15,6,0,354.0161,12596,7907,22357,14194,62.1853
全心商厦(上海市场步行街购物中心东),"112.386651,34.66179",涧西区,洛阳市涧西区上海市场步行街与青岛路交叉口东50米,商场,3.5 ,509,25,14,25,11,25,25,3,8,3,12,19,2,73.228,13023,9607,25431,16032,45.2557
美乐美购物广场,"112.583066,34.620395",洛龙区,洛阳市洛龙区李村镇2号小区,商场,3.5 ,25,0,1,7,8,2,4,0,1,0,6,0,0,172.4,14086,14312,33971,23477,38.69
伊川百货楼,"112.429081,34.420351",伊川县,洛阳市伊川县人民大街,商场,3.5 ,308,50,5,25,13,25,17,1,13,2,25,7,0,290,8730,6750,19024,14805,45.66
人人家服饰广场,"111.649476,34.388964",洛宁县,洛阳市洛宁县京宁路与兴宁中路交叉口西北100米,商场,3.5 ,183,12,5,25,8,12,15,3,11,1,22,5,0,88.1748,10740,6789,27770,17654,32.4
